country	region	region_orig	Dif.region_region_orig	regionhash	habitatcode	presence	habitatgroup	annex_I_priority	annex_I_priority_comment
AT	CON	CON	TRUE	d58afbda1b673e4237cdc6475d13d81e	3130	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	38fef3caf9a5b6bb56fa19fd1382abd7	3140	1	Freshwater habitats	N	
AT	CON	CON	TRUE	687844852fdc53ff453c0db80101c49d	3140	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	0de05e07e8222ab3d33d94213e754648	3150	1	Freshwater habitats	N	
AT	CON	CON	TRUE	24338044ddfaa9142f66a31f7939e542	3150	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	77306a57c2768b0855724135e8ebe7a7	3160	1	Freshwater habitats	N	
AT	CON	CON	TRUE	af6b8fa6749c858a6d0bc226301dd884	3160	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	3c7053f719f16f7fc61c0aee663b0505	3220	1	Freshwater habitats	N	
AT	CON	CON	TRUE	1aad715e648bccf25e7e545fb5296780	3220	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	f742f74f7af689fe972ef14fe56f2c20	3230	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	9f3a87938ce929211a882e0e281a4aac	3240	1	Freshwater habitats	N	
AT	CON	CON	TRUE	001311e0aaf4f03da24c1c7c744341c7	3240	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	757a4f7fb2c34d4c181c302b6eb89c7e	3260	1	Freshwater habitats	N	
AT	CON	CON	TRUE	c373783019e841c947305710466905b0	3260	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	f9b997915c71510f5a5a505440595f17	3270	1	Freshwater habitats	N	
AT	CON	CON	TRUE	92b5b2fece5c0ad3ae3dfaa828da33b8	3270	1	Freshwater habitats	N	
AT	ALP	ALP	TRUE	ba2db62759f0e90d8bdb4164e06501bf	4030	1	Heath & scrub	N	
AT	CON	CON	TRUE	0c8c695842c849ffb58eb593ed59e6d1	4030	1	Heath & scrub	N	
AT	ALP	ALP	TRUE	6f7f5b00dd998b7403ede1c0b150cfba	4060	1	Heath & scrub	N	
AT	ALP	ALP	TRUE	cc502b4316caaaeda15971cf5a10fbfc	4070	1	Heath & scrub	Y	
AT	ALP	ALP	TRUE	afc10d8a31c065659048b252c95546a4	4080	1	Heath & scrub	N	
AT	CON	CON	TRUE	dc1fd9d9e7e79f551249362f637e3cd1	40A0	1	Heath & scrub	Y	
AT	ALP	ALP	TRUE	485e7537ecfac78f221d05fca2ff22f0	5130	1	Sclerophyllous scrubs	N	
AT	CON	CON	TRUE	d9b50bbd10471910da133059afe8e065	5130	1	Sclerophyllous scrubs	N	
AT	ALP	ALP	TRUE	3e975c8966a133574c8d9743edd3e6b8	6110	1	Grasslands	Y	
AT	CON	CON	TRUE	70118d6e74f9b868b6ba335fda2c135e	6110	1	Grasslands	Y	
AT	ALP	ALP	TRUE	253dc6b8ee9a73474bb4c200fe28732c	6130	1	Grasslands	N	
AT	CON	CON	TRUE	8a7d5b10b61dbc7d226f6fef5056eda8	6130	1	Grasslands	N	
AT	ALP	ALP	TRUE	0a330f918dd61395bde29dc7aa9ffd0b	6150	1	Grasslands	N	
AT	ALP	ALP	TRUE	9a8610f425c1f811631267ba9ddf0143	6170	1	Grasslands	N	
AT	CON	CON	TRUE	b8e1adb0a5da09063a8c3d561a9d570e	6170	1	Grasslands	N	
AT	ALP	ALP	TRUE	11e19513141d9a2d7b2ddfcd39d8520f	6190	1	Grasslands	N	
AT	CON	CON	TRUE	5f2a4fa69413e57293dc519bd397f2a9	6190	1	Grasslands	N	
AT	ALP	ALP	TRUE	f41678de889b766bf0ed513a21309683	6210	1	Grasslands	N	(* important orchid sites)
AT	CON	CON	TRUE	118146d378d64946db12bf893122d0ab	6210	1	Grasslands	N	(* important orchid sites)
AT	ALP	ALP	TRUE	213e88802be4233f347811dcdee32977	6230	1	Grasslands	Y	
AT	CON	CON	TRUE	474d79f84ea750cc5d6b7268ace9f1b7	6230	1	Grasslands	Y	
AT	ALP	ALP	TRUE	02acdfc6721a0c2393075b91eb92db4e	6240	1	Grasslands	Y	
AT	CON	CON	TRUE	5aadbea38db3fdf931365f0c73153f43	6240	1	Grasslands	Y	
AT	CON	CON	TRUE	5c5dec52e293457ba8586fd593558f13	6250	1	Grasslands	Y	
AT	CON	CON	TRUE	41cd2facfc1fddd7b42fc7160052d05b	6260	1	Grasslands	Y	
AT	ALP	ALP	TRUE	ed174ec671026f60aeb8bc2fb5211ca9	6410	1	Grasslands	N	
AT	CON	CON	TRUE	04b12c48b348f8470225a957254bdd3a	6410	1	Grasslands	N	
AT	ALP	ALP	TRUE	8a4e4cdd5217bffff028c11d2b08f2f0	6430	1	Grasslands	N	
AT	CON	CON	TRUE	573a43f2c0af3ed3045885c16e03aaf7	6430	1	Grasslands	N	
AT	CON	CON	TRUE	222e18af8991ddafef97e32703a47426	6440	1	Grasslands	N	
AT	ALP	ALP	TRUE	e69e03b058056aa489c00a7ba990cd9f	6510	1	Grasslands	N	
AT	CON	CON	TRUE	4369fd464301d880de6fe7d2aa0e71f9	6510	1	Grasslands	N	
AT	ALP	ALP	TRUE	17cd9b4bcab5dd693d0f23195743278f	6520	1	Grasslands	N	
AT	CON	CON	TRUE	c930b474b57ff27c36a60df500039a84	1530	1	Coastal habitats	Y	
AT	CON	CON	TRUE	0274c586f78979acf4fd482b79f6e64b	2340	1	Dunes habitats	Y	
AT	ALP	ALP	TRUE	12a7ea96ed2b7f88b85f73c574360818	3130	1	Freshwater habitats	N	
AT	CON	CON	TRUE	2df6b3dc9bf29e7d982f47dae7f9260c	6520	1	Grasslands	N	
AT	ALP	ALP	TRUE	f431c22f6dc2af5320031ede1dcadd0b	7110	1	"Bogs, mires & fens"	Y	
AT	CON	CON	TRUE	3f390088e3c3f3f86b1519d05661033b	7110	1	"Bogs, mires & fens"	Y	
AT	ALP	ALP	TRUE	c596f20a907c3a312394671d979510cf	7120	1	"Bogs, mires & fens"	N	
AT	CON	CON	TRUE	382cca5760dfa87c7d793e20c61d4d50	7120	1	"Bogs, mires & fens"	N	
AT	ALP	ALP	TRUE	04fcc0d96aaa2e9ed59ded52081d1a01	7130	1	"Bogs, mires & fens"	N	(*active only)
AT	ALP	ALP	TRUE	c3395276b34994ec41cbf0309b826d96	7140	1	"Bogs, mires & fens"	N	
AT	CON	CON	TRUE	35f0b24992964d94e02e2f3eb28c2aaf	7140	1	"Bogs, mires & fens"	N	
AT	ALP	ALP	TRUE	ea08707cc3d0cc7f04e66ac9b438cdc8	7150	1	"Bogs, mires & fens"	N	
AT	CON	CON	TRUE	51b3c26a9bb9b1aef1da602686a5a74c	7150	1	"Bogs, mires & fens"	N	
AT	ALP	ALP	TRUE	5e5631a30e5e36dd904fb956ff382e70	7210	1	"Bogs, mires & fens"	Y	
AT	CON	CON	TRUE	6230f7e839964269c6776da82df429c5	7210	1	"Bogs, mires & fens"	Y	
AT	ALP	ALP	TRUE	ddb9200135c572bfbc451de72780baa4	7220	1	"Bogs, mires & fens"	Y	
AT	CON	CON	TRUE	1ffbc504010a9883cbe5946509739879	7220	1	"Bogs, mires & fens"	Y	
AT	ALP	ALP	TRUE	7a348110c68b5835aa42952b89d65fb8	7230	1	"Bogs, mires & fens"	N	
AT	CON	CON	TRUE	ec73d279042beb7d30a18fed570fcaa6	7230	1	"Bogs, mires & fens"	N	
AT	ALP	ALP	TRUE	d613bf7ef97f37c25517f863785490c3	7240	1	"Bogs, mires & fens"	Y	
