"country","region","habitatcode","habitatgroup"
"BE","ATL","6110","Grasslands"
"BE","CON","6110","Grasslands"
"BE","ATL","6120","Grasslands"
"BE","CON","6120","Grasslands"
"BE","CON","6130","Grasslands"
"BE","ATL","6210","Grasslands"
"BE","CON","6210","Grasslands"
"BE","ATL","6230","Grasslands"
"BE","CON","6230","Grasslands"
"BE","ATL","6410","Grasslands"
"BE","CON","6410","Grasslands"
"BE","ATL","6430","Grasslands"
"BE","CON","6430","Grasslands"
"BE","ATL","6510","Grasslands"
"BE","CON","6510","Grasslands"
"BE","CON","6520","Grasslands"
"BE","ATL","7110","Bogs, mires & fens"
"BE","CON","7110","Bogs, mires & fens"
"BE","CON","7120","Bogs, mires & fens"
"BE","ATL","7140","Bogs, mires & fens"
"BE","CON","7140","Bogs, mires & fens"
"BE","ATL","7150","Bogs, mires & fens"
"BE","CON","7150","Bogs, mires & fens"
"BE","ATL","7210","Bogs, mires & fens"
"BE","ATL","7220","Bogs, mires & fens"
"BE","CON","7220","Bogs, mires & fens"
"BE","ATL","7230","Bogs, mires & fens"
"BE","CON","7230","Bogs, mires & fens"
"BE","CON","8150","Rocky habitats"
"BE","CON","8160","Rocky habitats"
"BE","ATL","8210","Rocky habitats"
"BE","CON","8210","Rocky habitats"
"BE","ATL","8220","Rocky habitats"
"BE","CON","8220","Rocky habitats"
"BE","ATL","8310","Rocky habitats"
"BE","CON","8310","Rocky habitats"
"BE","CON","9110","Forests"
"BE","ATL","9120","Forests"
"BE","CON","9120","Forests"
"BE","ATL","9130","Forests"
"BE","CON","9130","Forests"
"BE","ATL","9150","Forests"
"BE","CON","9150","Forests"
"BE","ATL","9160","Forests"
"BE","CON","9160","Forests"
"BE","ATL","9180","Forests"
"BE","CON","9180","Forests"
"BE","ATL","9190","Forests"
"BE","CON","9190","Forests"
"BE","ATL","91D0","Forests"
"BE","CON","91D0","Forests"
"BE","ATL","91E0","Forests"
"BE","CON","91E0","Forests"
"BE","ATL","91F0","Forests"
"BE","CON","91F0","Forests"
"BG","MBLS","1110","Coastal habitats"
"BG","MBLS","1130","Coastal habitats"
"BG","MBLS","1140","Coastal habitats"
"BG","BLS","1150","Coastal habitats"
"BG","MBLS","1160","Coastal habitats"
"BG","MBLS","1170","Coastal habitats"
"BG","BLS","1210","Coastal habitats"
"BG","BLS","1240","Coastal habitats"
"BG","BLS","1310","Coastal habitats"
"BG","CON","1310","Coastal habitats"
"BG","CON","1340","Coastal habitats"
"BG","BLS","1410","Coastal habitats"
"BG","CON","1410","Coastal habitats"
"BG","BLS","1530","Coastal habitats"
"BG","CON","1530","Coastal habitats"
"BG","BLS","2110","Dunes habitats"
"BG","BLS","2120","Dunes habitats"
"BG","BLS","2130","Dunes habitats"
"BG","BLS","2180","Dunes habitats"
"BG","BLS","2190","Dunes habitats"
"BG","CON","2340","Dunes habitats"
"BG","ALP","3130","Freshwater habitats"
"BG","CON","3130","Freshwater habitats"
"BG","ALP","3140","Freshwater habitats"
"BG","BLS","3140","Freshwater habitats"
"BG","CON","3140","Freshwater habitats"
"BG","ALP","3150","Freshwater habitats"
"BG","BLS","3150","Freshwater habitats"
"BG","CON","3150","Freshwater habitats"
"BG","ALP","3160","Freshwater habitats"
"BG","CON","3160","Freshwater habitats"
"BG","ALP","3260","Freshwater habitats"
"BG","BLS","3260","Freshwater habitats"
"BG","CON","3260","Freshwater habitats"
"BG","ALP","3270","Freshwater habitats"
"BG","BLS","3270","Freshwater habitats"
"BG","CON","3270","Freshwater habitats"
"BG","BLS","4030","Heath & scrub"
"BG","ALP","4060","Heath & scrub"
"BG","CON","4060","Heath & scrub"
"BG","ALP","4070","Heath & scrub"
"BG","CON","4070","Heath & scrub"
"BG","ALP","4080","Heath & scrub"
"BG","CON","4080","Heath & scrub"
"BG","ALP","4090","Heath & scrub"
"BG","BLS","4090","Heath & scrub"
"BG","CON","4090","Heath & scrub"
"BG","BLS","40A0","Heath & scrub"
"BG","CON","40A0","Heath & scrub"
"BG","ALP","40B0","Heath & scrub"
"BG","CON","40C0","Heath & scrub"
"BG","ALP","5130","Sclerophyllous scrubs"
"BG","BLS","5130","Sclerophyllous scrubs"
"BG","CON","5130","Sclerophyllous scrubs"
